experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_egg_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,1,A,SK_14_1_A,multiply_marked,EH,99,0,0,0,99
SK_14,3,A,SK_14_3_A,multiply_marked,EH,101,0,0,0,101
SK_14,5,A,SK_14_5_A,multiply_marked,EH,98,0,0,0,98
SK_14,6,A,SK_14_6_A,multiply_marked,EH,115,0,0,0,115
SK_14,8,A,SK_14_8_A,multiply_marked,EH,114,0,0,0,114
SK_14,12,A,SK_14_12_A,multiply_marked,EH,68,0,0,0,68
SK_14,14,A,SK_14_14_A,multiply_marked,EH,128,0,0,0,128
SK_14,17,A,SK_14_17_A,multiply_marked,EH,118,0,0,0,118
SK_14,18,A,SK_14_18_A,multiply_marked,EH,77,0,0,0,77
SK_14,19,A,SK_14_19_A,multiply_marked,EH,123,0,0,0,123
SK_14,1,B,SK_14_1_B,multiply_marked,EH,172,1,0,0,173
SK_14,3,B,SK_14_3_B,multiply_marked,EH,140,0,0,0,140
SK_14,5,B,SK_14_5_B,multiply_marked,EH,129,0,0,0,129
SK_14,6,B,SK_14_6_B,multiply_marked,EH,146,0,0,0,146
SK_14,8,B,SK_14_8_B,multiply_marked,EH,189,0,0,0,189
SK_14,12,B,SK_14_12_B,multiply_marked,EH,133,0,0,0,133
SK_14,14,B,SK_14_14_B,multiply_marked,EH,137,0,0,0,137
SK_14,17,B,SK_14_17_B,multiply_marked,EH,163,0,0,0,163
SK_14,18,B,SK_14_18_B,multiply_marked,EH,161,0,0,0,161
SK_14,19,B,SK_14_19_B,multiply_marked,EH,118,0,0,0,118
SK_14,1,C,SK_14_1_C,multiply_marked,EH,152,0,0,0,152
SK_14,3,C,SK_14_3_C,multiply_marked,EH,124,0,0,0,124
SK_14,5,C,SK_14_5_C,multiply_marked,EH,93,0,0,0,93
SK_14,6,C,SK_14_6_C,multiply_marked,EH,107,1,0,0,108
SK_14,8,C,SK_14_8_C,multiply_marked,EH,111,0,0,0,111
SK_14,12,C,SK_14_12_C,multiply_marked,EH,98,0,0,0,98
SK_14,14,C,SK_14_14_C,multiply_marked,EH,127,0,0,0,127
SK_14,17,C,SK_14_17_C,multiply_marked,EH,76,0,0,0,76
SK_14,18,C,SK_14_18_C,multiply_marked,EH,103,0,0,0,103
SK_14,19,C,SK_14_19_C,multiply_marked,EH,121,0,0,0,121
SK_14,1,D,SK_14_1_D,multiply_marked,EH,226,0,0,0,226
SK_14,3,D,SK_14_3_D,multiply_marked,EH,140,1,0,0,141
SK_14,5,D,SK_14_5_D,multiply_marked,EH,128,0,0,0,128
SK_14,6,D,SK_14_6_D,multiply_marked,EH,122,0,0,0,122
SK_14,8,D,SK_14_8_D,multiply_marked,EH,210,0,0,0,210
SK_14,12,D,SK_14_12_D,multiply_marked,EH,152,1,0,0,153
SK_14,14,D,SK_14_14_D,multiply_marked,EH,164,0,0,0,164
SK_14,17,D,SK_14_17_D,multiply_marked,EH,140,0,0,0,140
SK_14,18,D,SK_14_18_D,multiply_marked,EH,146,0,0,0,146
SK_14,19,D,SK_14_19_D,multiply_marked,EH,108,0,0,0,108
SK_14,1,E,SK_14_1_E,multiply_marked,EH,220,0,0,0,220
SK_14,3,E,SK_14_3_E,multiply_marked,EH,135,0,3,0,138
SK_14,5,E,SK_14_5_E,multiply_marked,EH,181,1,0,0,182
SK_14,6,E,SK_14_6_E,multiply_marked,EH,162,2,0,0,164
SK_14,8,E,SK_14_8_E,multiply_marked,EH,191,0,0,0,191
SK_14,12,E,SK_14_12_E,multiply_marked,EH,123,4,0,0,127
SK_14,14,E,SK_14_14_E,multiply_marked,EH,166,4,0,0,170
SK_14,17,E,SK_14_17_E,multiply_marked,EH,140,0,0,0,140
SK_14,18,E,SK_14_18_E,multiply_marked,EH,177,5,0,0,182
SK_14,19,E,SK_14_19_E,multiply_marked,EH,196,0,7,0,203
SK_14,1,F,SK_14_1_F,multiply_marked,EH,206,0,0,0,206
SK_14,3,F,SK_14_3_F,multiply_marked,EH,133,0,0,0,133
SK_14,5,F,SK_14_5_F,multiply_marked,EH,148,0,0,0,148
SK_14,6,F,SK_14_6_F,multiply_marked,EH,172,0,0,0,172
SK_14,8,F,SK_14_8_F,multiply_marked,EH,194,0,0,0,194
SK_14,12,F,SK_14_12_F,multiply_marked,EH,123,2,0,0,125
SK_14,14,F,SK_14_14_F,multiply_marked,EH,161,4,0,0,165
SK_14,17,F,SK_14_17_F,multiply_marked,EH,145,0,0,0,145
SK_14,18,F,SK_14_18_F,multiply_marked,EH,105,2,4,0,111
SK_14,19,F,SK_14_19_F,multiply_marked,EH,137,0,0,0,137
SK_14,1,G,SK_14_1_G,multiply_marked,EH,202,2,0,0,204
SK_14,3,G,SK_14_3_G,multiply_marked,EH,210,1,0,0,211
SK_14,5,G,SK_14_5_G,multiply_marked,EH,222,1,0,0,223
SK_14,6,G,SK_14_6_G,multiply_marked,EH,225,0,0,0,225
SK_14,8,G,SK_14_8_G,multiply_marked,EH,232,0,0,0,232
SK_14,12,G,SK_14_12_G,multiply_marked,EH,220,0,0,0,220
SK_14,14,G,SK_14_14_G,multiply_marked,EH,184,0,0,0,184
SK_14,17,G,SK_14_17_G,multiply_marked,EH,164,0,0,0,164
SK_14,18,G,SK_14_18_G,multiply_marked,EH,188,7,0,0,195
SK_14,19,G,SK_14_19_G,multiply_marked,EH,162,0,0,0,162
SK_14,1,H,SK_14_1_H,multiply_marked,EH,117,1,0,0,118
SK_14,3,H,SK_14_3_H,multiply_marked,EH,106,0,0,0,106
SK_14,5,H,SK_14_5_H,multiply_marked,EH,157,0,0,0,157
SK_14,6,H,SK_14_6_H,multiply_marked,EH,215,5,0,0,220
SK_14,8,H,SK_14_8_H,multiply_marked,EH,206,1,0,0,207
SK_14,12,H,SK_14_12_H,multiply_marked,EH,169,0,0,0,169
SK_14,14,H,SK_14_14_H,multiply_marked,EH,212,0,0,0,212
SK_14,17,H,SK_14_17_H,multiply_marked,EH,191,1,0,0,192
SK_14,18,H,SK_14_18_H,multiply_marked,EH,116,1,0,0,117
SK_14,19,H,SK_14_19_H,multiply_marked,EH,201,0,0,0,201
SK_14,1,I,SK_14_1_I,multiply_marked,EH,177,1,0,0,178
SK_14,3,I,SK_14_3_I,multiply_marked,EH,126,0,0,0,126
SK_14,5,I,SK_14_5_I,multiply_marked,EH,122,1,0,0,123
SK_14,6,I,SK_14_6_I,multiply_marked,EH,126,0,0,0,126
SK_14,8,I,SK_14_8_I,multiply_marked,EH,121,0,0,0,121
SK_14,12,I,SK_14_12_I,multiply_marked,EH,166,0,0,0,166
SK_14,14,I,SK_14_14_I,multiply_marked,EH,127,0,0,0,127
SK_14,17,I,SK_14_17_I,multiply_marked,EH,100,0,0,0,100
SK_14,18,I,SK_14_18_I,multiply_marked,EH,150,1,0,0,151
